iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; BF_D_ok; BF_D_time; TS_R_ok; TS_R_time; BF_R_ok; BF_R_time; 
0; 15; 130; 105; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 15; 140; 105; 100; 1; 0; 1; 2; 1; 0; 1; 2; 
0; 15; 150; 105; 100; 1; 0; 1; 0; 1; 0; 1; 2; 
0; 16; 30; 27; 23; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 16; 40; 40; 33; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 16; 50; 51; 43; 1; 2; 1; 0; 1; 12; 0; 0; 
0; 16; 60; 77; 64; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 16; 70; 84; 70; 1; 2; 0; 0; 1; 0; 1; 21; 
0; 16; 80; 90; 75; 1; 0; 1; 175; 1; 0; 1; 1; 
0; 16; 90; 120; 100; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 16; 100; 112; 93; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 16; 110; 117; 98; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 16; 120; 120; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 16; 130; 120; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 16; 140; 120; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 16; 150; 120; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 17; 30; 22; 16; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 17; 40; 32; 24; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 17; 50; 67; 49; 1; 26; 1; 0; 1; 13; 0; 0; 
0; 17; 60; 91; 67; 1; 0; 1; 1; 1; 1; 1; 1; 
0; 17; 70; 115; 85; 1; 0; 1; 2; 1; 0; 1; 1; 
0; 17; 80; 116; 85; 1; 0; 1; 1; 1; 0; 1; 13; 
0; 17; 90; 127; 93; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 17; 100; 134; 99; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 17; 110; 136; 100; 1; 0; 1; 1; 1; 1; 1; 4; 
0; 17; 120; 136; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 17; 130; 136; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 17; 140; 136; 100; 1; 0; 1; 2; 1; 0; 1; 2; 
